,stats_players_used,stats_avg_age,stats_possession,stats_games,stats_games_starts,stats_minutes,stats_minutes_90s,stats_goals,stats_assists,stats_goals_assists,stats_goals_pens,stats_pens_made,stats_pens_att,stats_cards_yellow,stats_cards_red,stats_xg,stats_npxg,stats_xg_assist,stats_npxg_xg_assist,stats_progressive_carries,stats_progressive_passes,stats_goals_per90,stats_assists_per90,stats_goals_assists_per90,stats_goals_pens_per90,stats_goals_assists_pens_per90,stats_xg_per90,stats_xg_assist_per90,stats_xg_xg_assist_per90,stats_npxg_per90,stats_npxg_xg_assist_per90
Augsburg,28,27.4,43.4,25,275,"2,250",25.0,28,20,48,27,1,2,66,2,25.0,23.4,17.6,41.0,329,833,1.12,0.80,1.92,1.08,1.88,1.00,0.70,1.70,0.94,1.64
Bayern Munich,27,28.5,68.6,25,275,"2,250",25.0,72,45,117,63,9,10,38,1,62.1,54.3,43.0,97.3,607,1553,2.88,1.80,4.68,2.52,4.32,2.48,1.72,4.20,2.17,3.89
Bochum,26,28.8,43.8,25,275,"2,250",25.0,25,18,43,24,1,2,52,1,30.8,29.2,22.5,51.7,278,765,1.00,0.72,1.72,0.96,1.68,1.23,0.90,2.13,1.17,2.07
Dortmund,28,27.2,60.9,25,275,"2,250",25.0,43,32,75,39,4,4,59,6,40.4,37.3,30.8,68.2,534,1163,1.72,1.28,3.00,1.56,2.84,1.61,1.23,2.85,1.49,2.73
Eint Frankfurt,26,25.7,49.6,25,275,"2,250",25.0,51,32,83,48,3,5,41,1,46.4,42.7,31.3,74.0,442,997,2.04,1.28,3.32,1.92,3.20,1.86,1.25,3.11,1.71,2.96
Freiburg,26,27.9,47.6,25,275,"2,250",25.0,32,23,55,32,0,4,40,2,30.4,27.2,19.3,46.5,308,798,1.28,0.92,2.20,1.28,2.20,1.21,0.77,1.99,1.09,1.86
Gladbach,26,27.3,51.1,25,275,"2,250",25.0,38,30,68,36,2,3,43,2,38.1,35.6,29.7,65.2,397,854,1.52,1.20,2.72,1.44,2.64,1.52,1.19,2.71,1.42,2.61
Heidenheim,26,27.5,43.4,25,275,"2,250",25.0,28,18,46,24,4,4,49,1,30.6,27.4,21.0,48.5,385,711,1.12,0.72,1.84,0.96,1.68,1.22,0.84,2.06,1.10,1.94
Hoffenheim,34,27.0,49.6,25,275,"2,250",25.0,32,19,51,30,2,2,48,1,32.2,30.6,25.2,55.9,361,941,1.28,0.76,2.04,1.20,1.96,1.29,1.01,2.30,1.23,2.23
Holstein Kiel,27,26.1,43.3,25,275,"2,250",25.0,37,21,58,34,3,4,55,3,28.7,25.5,19.1,44.6,265,644,1.48,0.84,2.32,1.36,2.20,1.15,0.76,1.91,1.02,1.78
Leverkusen,23,27.7,58.9,25,275,"2,250",25.0,54,40,94,52,2,5,46,1,46.7,42.7,33.5,76.1,495,1277,2.16,1.60,3.76,2.08,3.68,1.87,1.34,3.21,1.71,3.05
Mainz 05,24,28.2,49.2,25,275,"2,250",25.0,40,28,68,37,3,3,58,3,35.7,33.4,26.8,60.3,328,925,1.60,1.12,2.72,1.48,2.60,1.43,1.07,2.50,1.34,2.41
RB Leipzig,29,26.4,52.6,25,275,"2,250",25.0,37,25,62,35,2,3,50,4,34.4,32.0,27.0,59.0,378,987,1.48,1.00,2.48,1.40,2.40,1.38,1.08,2.45,1.28,2.36
St. Pauli,27,27.7,44.2,25,275,"2,250",25.0,18,16,34,17,1,2,37,1,25.5,23.9,19.7,43.7,312,796,0.72,0.64,1.36,0.68,1.32,1.02,0.79,1.81,0.96,1.75
Stuttgart,27,25.5,56.7,25,275,"2,250",25.0,42,29,71,40,2,5,56,3,42.4,38.5,29.5,67.9,387,1090,1.68,1.16,2.84,1.60,2.76,1.69,1.18,2.87,1.54,2.72
Union Berlin,27,27.8,42.3,25,275,"2,250",25.0,23,15,38,20,3,3,60,1,29.3,26.9,19.8,46.7,303,833,0.92,0.60,1.52,0.80,1.40,1.17,0.79,1.96,1.08,1.87
Werder Bremen,23,28.2,50.0,25,275,"2,250",25.0,37,29,66,36,1,3,57,4,33.6,31.6,26.0,57.6,356,1000,1.48,1.16,2.64,1.44,2.60,1.34,1.04,2.38,1.26,2.30
Wolfsburg,25,25.9,44.5,25,275,"2,250",25.0,47,32,79,43,4,5,61,2,36.7,32.6,25.0,57.6,330,842,1.88,1.28,3.16,1.72,3.00,1.47,1.00,2.47,1.30,2.30
