Pays,Ligue,Numéro de Pari,Date du Match,Heure de Fin de Validité,Equipe Domicile,Equipe Extérieure,Cote Domicile,Cote Nul,Cote Extérieur
France,l1-mcdonald-s,65,28/03,20h40,Strasbourg,Lyon,"2,45","3,45","2,25"
France,l1-mcdonald-s,11,29/03,16h55,Reims,Marseille,"4,15","3,60","1,52"
France,l1-mcdonald-s,10,29/03,18h55,St Etienne,Paris SG,"7,80","6,10","1,13"
France,l1-mcdonald-s,62,29/03,21h00,Monaco,Nice,"1,70","3,50","3,30"
France,l1-mcdonald-s,61,30/03,14h55,Toulouse,Brest,"1,86","3,00","3,25"
France,l1-mcdonald-s,59,30/03,17h10,Auxerre,Montpellier,"1,69","3,45","3,40"
France,l1-mcdonald-s,60,30/03,17h10,Angers,Rennes,"3,35","3,15","1,77"
France,l1-mcdonald-s,58,30/03,20h40,Lille,Lens,"1,82","3,20","3,20"
Italie,serie-a,46,29/03,14h55,Venezia FC,Bologne,"3,90","3,25","1,68"
Italie,serie-a,47,29/03,14h55,Como 1907,Empoli,"1,61","3,35","4,20"
Italie,serie-a,45,29/03,17h55,Juventus Turin,Genoa,"1,47","3,50","5,30"
Italie,serie-a,43,29/03,20h40,Lecce,AS Rome,"3,70","3,15","1,75"
Italie,serie-a,42,30/03,12h25,Cagliari,AC Monza,"1,63","3,25","4,25"
Italie,serie-a,41,30/03,14h55,Fiorentina,Atalanta,"3,30","3,30","1,83"
Italie,serie-a,40,30/03,17h55,Inter Milan,Udinese,"1,28","4,45","6,50"
Italie,serie-a,39,30/03,20h40,Naples,Milan AC,"1,77","3,35","3,40"
Italie,serie-a,38,31/03,18h25,Hellas Vérone,Parme,"2,15","3,00","2,80"
Italie,serie-a,37,31/03,20h40,Lazio Rome,Torino,"1,61","3,35","4,20"
Espagne,laliga,57,28/03,20h55,Ath. Bilbao,Osasuna,"1,46","3,70","5,55"
Espagne,laliga,56,29/03,13h55,Real Sociedad,Valladolid,"1,25","4,25","8,20"
Espagne,laliga,55,29/03,16h10,Espanyol,Atl. Madrid,"5,15","3,65","1,45"
Espagne,laliga,54,29/03,18h25,Alaves,Rayo Vallecano,"2,15","2,85","2,95"
Espagne,laliga,53,29/03,20h55,Real Madrid,CD Leganes,"1,14","5,80","9,20"
Espagne,laliga,52,30/03,13h55,Getafe,Villarreal,"2,80","2,95","2,15"
Espagne,laliga,51,30/03,16h10,FC Barcelone,Gérone,"1,21","5,30","6,75"
Espagne,laliga,50,30/03,18h25,CF Valence,Majorque,"1,87","2,95","3,50"
Espagne,laliga,49,30/03,20h55,Betis Séville,FC Séville,"1,97","3,05","3,10"
Espagne,laliga,48,31/03,20h55,Celta Vigo,Las Palmas,"1,46","3,80","4,75"
Allemagne,bundesliga-1,78,28/03,20h25,Leverkusen,Bochum,"1,18","5,80","8,70"
Allemagne,bundesliga-1,77,29/03,15h25,Bayern Munich,St Pauli,"1,13","5,90","10,70"
Allemagne,bundesliga-1,73,29/03,15h25,Wolfsburg,FC Heidenheim,"1,53","3,75","4,20"
Allemagne,bundesliga-1,74,29/03,15h25,M'Gladbach,RB Leipzig,"2,60","3,45","2,10"
Allemagne,bundesliga-1,75,29/03,15h25,Holstein Kiel,Werder Brême,"2,80","3,30","1,99"
Allemagne,bundesliga-1,76,29/03,15h25,Hoffenheim,Augsburg,"2,15","3,10","2,65"
Allemagne,bundesliga-1,72,29/03,18h25,Ein.Francfort,Stuttgart,"2,10","3,40","2,60"
Allemagne,bundesliga-1,71,30/03,15h25,Fribourg,Union Berlin,"1,85","3,15","3,35"
Allemagne,bundesliga-1,70,30/03,17h25,Dortmund,Mayence,"1,56","3,70","4,10"
Angleterre,premier-league,307,01/04,20h40,Arsenal,Fulham,"1,33","4,00","6,50"
Angleterre,premier-league,306,01/04,20h40,Wolverhampton,West Ham,"2,10","3,10","2,75"
Angleterre,premier-league,305,01/04,20h55,Nottingham F.,Man. United,"1,99","3,25","2,90"
Angleterre,premier-league,301,02/04,20h40,Newcastle,Brentford,"1,61","3,85","3,60"
Angleterre,premier-league,302,02/04,20h40,Man. City,Leicester,"1,11","6,30","10,50"
Angleterre,premier-league,300,02/04,20h40,Southampton,Crystal Palace,"4,40","3,55","1,54"
Angleterre,premier-league,303,02/04,20h40,Brighton Hove,Aston Villa,"1,81","3,60","3,10"
Angleterre,premier-league,304,02/04,20h40,Bournemouth,Ipswich,"1,30","4,50","6,15"
Angleterre,premier-league,299,02/04,20h55,Liverpool,Everton,"1,29","4,40","6,40"
Angleterre,premier-league,298,03/04,20h55,Chelsea,Tottenham,"1,54","3,85","3,75"
